r_strength,r_range,a_strength,a_range,c
30,2.0,20,2.4,20.0
30,2.0,20,2.4,20.1
30,2.0,20,2.4,20.2
30,2.0,20,2.4,20.3
30,2.0,20,2.4,20.4
30,2.0,20,2.4,20.5
30,2.0,20,2.4,20.6
30,2.0,20,2.4,20.7
30,2.0,20,2.4,20.8
30,2.0,20,2.4,20.9
30,2.0,20,2.4,21.0
30,2.0,20,2.4,21.1
30,2.0,20,2.4,21.2
30,2.0,20,2.4,21.3
30,2.0,20,2.4,21.4
30,2.0,20,2.4,21.5
30,2.0,20,2.4,21.6
30,2.0,20,2.4,21.7
30,2.0,20,2.4,21.8
30,2.0,20,2.4,21.9
30,2.0,20,2.4,22.0
30,2.0,20,2.4,22.1
30,2.0,20,2.4,22.2
30,2.0,20,2.4,22.3
30,2.0,20,2.4,22.4
30,2.0,20,2.4,22.5
30,2.0,20,2.4,22.6
30,2.0,20,2.4,22.7
30,2.0,20,2.4,22.8
30,2.0,20,2.4,22.9
30,2.0,20,2.4,23.0
30,2.0,20,2.4,23.1
30,2.0,20,2.4,23.2
30,2.0,20,2.4,23.3
30,2.0,20,2.4,23.4
30,2.0,20,2.4,23.5
30,2.0,20,2.4,23.6
30,2.0,20,2.4,23.7
30,2.0,20,2.4,23.8
30,2.0,20,2.4,23.9
30,2.0,20,2.4,24.0
30,2.0,20,2.4,24.1
30,2.0,20,2.4,24.2
30,2.0,20,2.4,24.3
30,2.0,20,2.4,24.4
30,2.0,20,2.4,24.5
30,2.0,20,2.4,24.6
30,2.0,20,2.4,24.7
30,2.0,20,2.4,24.8
30,2.0,20,2.4,24.9
30,2.0,20,2.4,25.0
30,2.0,20,2.4,25.1
30,2.0,20,2.4,25.2
30,2.0,20,2.4,25.3
30,2.0,20,2.4,25.4
30,2.0,20,2.4,25.5
30,2.0,20,2.4,25.6
30,2.0,20,2.4,25.7
30,2.0,20,2.4,25.8
30,2.0,20,2.4,25.9
30,2.0,20,2.4,26.0
30,2.0,20,2.4,26.1
30,2.0,20,2.4,26.2
30,2.0,20,2.4,26.3
30,2.0,20,2.4,26.4
30,2.0,20,2.4,26.5
30,2.0,20,2.4,26.6
30,2.0,20,2.4,26.7
30,2.0,20,2.4,26.8
30,2.0,20,2.4,26.9
30,2.0,20,2.4,27.0
30,2.0,20,2.4,27.1
30,2.0,20,2.4,27.2
30,2.0,20,2.4,27.3
30,2.0,20,2.4,27.4
30,2.0,20,2.4,27.5
