v,re,s,ra,c_d
2.0,0.2,2.6,1.6,0.4135387601999765
2.4,1.2,2.6,1.4,0.4786288679622619
2.4,1.4,3.8,1.2,0.4711557955480485
1.8,1.2,1.8,1.6,0.4645409196038887
2.0,1.0,1.4,2.0,0.4832758559434019
2.2,0.6,1.6,2.0,0.4727781777197874
1.8,1.2,2.2,1.4,0.4532020921303248
2.6,0.4,3.4,1.4,0.4652230007857491
1.6,1.8,3.2,1.2,0.44916748634655895
2.0,1.6,3.8,1.2,0.4678691525225299
1.2,0.6,2.0,1.4,0.4218537710844628
2.6,0.4,3.0,1.4,0.4332948127819361
2.4,1.6,1.4,2.0,0.4975429928687062
1.4,1.0,1.2,1.8,0.4009361690025384
1.2,0.4,2.2,1.6,0.4954823365767096
1.2,2.0,2.4,1.4,0.4976264993516796
2.8,1.0,1.4,2.0,0.4470523462836974
2.4,1.4,1.6,1.8,0.4788507242249844
2.8,0.2,4.0,1.6,0.4694143702197539
1.8,1.2,2.4,1.2,0.40013063213186223
1.0,0.2,3.0,1.4,0.4699646802615467
1.4,1.4,1.2,2.0,0.4681503666761442
3.0,0.6,1.8,1.8,0.41628434625472455
1.2,2.0,4.0,1.0,0.4250697295324586
1.0,1.8,2.0,1.4,0.4487430976310025
1.2,1.6,3.8,1.0,0.4189981411250107
1.8,1.4,2.8,1.4,0.4737674000490811
2.4,1.4,3.4,1.2,0.4405019901963695
1.0,0.8,3.6,1.0,0.4098772755062504
1.6,1.2,3.8,1.2,0.491790532959708
1.8,1.8,2.2,1.4,0.44434650093973627
1.0,1.2,1.2,2.0,0.4817695868128835
1.6,1.6,3.8,1.2,0.4843890792321209
1.0,0.2,2.0,1.6,0.4231396977261443
2.6,1.6,3.0,1.4,0.4949395457952204
2.8,1.6,1.6,1.6,0.4117051281678492
2.4,1.4,1.6,1.8,0.4788507242249844
1.4,2.0,1.4,1.8,0.4344475377856911
2.4,1.6,2.8,1.4,0.4786770316523482
2.2,1.4,3.8,1.2,0.4738884581912891
1.4,1.0,1.8,1.4,0.4065975173822285
2.4,1.2,1.6,1.6,0.4098357205683271
2.2,1.4,3.6,1.2,0.4582321056497627
2.6,0.6,2.0,1.8,0.4715692229118842
1.2,1.2,3.6,1.2,0.4780784788558125
1.6,1.4,1.6,1.6,0.4402962767144913
2.8,2.0,1.6,1.8,0.4713410757273964
2.8,0.6,2.4,1.6,0.4602714069370277
2.0,0.4,2.6,1.4,0.427959864500634
1.8,1.8,1.2,1.8,0.4120119939671427
2.8,1.8,2.0,1.4,0.4085902246121783
2.6,1.2,2.2,1.4,0.42636770425455983
2.4,2.0,2.2,1.4,0.42780802291543135
1.2,2.0,2.2,1.4,0.4717636336370129
1.2,0.8,1.6,1.6,0.4369953793174822
2.4,0.4,2.6,1.6,0.4695282233658905
1.2,1.6,2.6,1.2,0.4252465579655912
3.0,1.4,2.8,1.2,0.4101065804067439
2.6,1.8,2.6,1.4,0.4632601304859586
2.6,0.4,3.6,1.4,0.4793633392202976
1.4,1.2,1.6,1.6,0.4420315556920686
2.0,0.2,2.8,1.8,0.4805683451923691
2.4,0.6,2.4,1.4,0.4128084765454026
2.8,1.0,1.4,2.0,0.4470523462836974
3.0,1.2,2.8,1.2,0.4020380546587027
2.8,1.6,2.2,1.4,0.42628206824233
2.2,0.2,2.6,1.6,0.40013742102725264
3.0,0.8,3.2,1.4,0.4819212225117665
3.0,2.0,2.2,1.4,0.4084277713868446
3.0,1.2,3.0,1.4,0.4976804970219562
1.8,1.4,3.2,1.2,0.4241415707339662
1.0,0.2,2.6,1.4,0.4337242720205644
2.8,1.2,1.6,1.8,0.4529659943090609
2.2,1.0,2.0,1.6,0.471645813852498
1.0,0.8,3.6,1.0,0.4098772755062504
1.4,2.0,3.2,1.2,0.4796845376912269
2.8,0.4,3.6,1.4,0.4651012119972287
2.0,1.0,3.8,1.2,0.4977076588235405
2.4,0.8,2.4,1.4,0.4342842957734738
2.6,1.0,1.6,1.8,0.4457582756765352
2.4,1.2,3.2,1.2,0.4516123255062528
1.4,0.8,2.0,1.6,0.4980950759146539
1.8,1.4,2.8,1.4,0.4737674000490811
1.4,0.4,1.6,2.0,0.4927955515467578
1.6,2.0,1.2,2.0,0.4165888466869624
1.8,1.4,2.4,1.2,0.405297870578473
2.6,2.0,1.6,1.6,0.4222902893157168
2.0,1.0,3.0,1.2,0.44263923678066863
2.8,1.0,3.6,1.2,0.4551566422674082
2.4,1.6,1.2,2.0,0.44077969658441785
3.0,0.8,3.2,1.4,0.4819212225117665
2.4,1.2,4.0,1.2,0.506776115645871
2.6,2.0,3.8,1.4,0.5753417501602708
1.4,1.8,3.2,1.4,0.5500432552549737
2.6,1.0,3.6,1.4,0.5546214419374779
2.6,1.0,3.0,1.6,0.5810177807294254
2.2,1.0,2.6,1.6,0.5582443902874814
1.0,1.8,3.6,1.2,0.5218474607218235
1.8,1.0,2.6,1.6,0.5758150420033086
2.0,1.6,1.8,1.8,0.5321979617858683
1.4,1.8,3.6,1.2,0.5053008600679547
1.2,1.4,3.2,1.4,0.5480058198329995
2.2,0.2,4.0,1.6,0.5114753835306861
2.4,1.6,3.8,1.4,0.5713731707816537
1.6,2.0,1.6,2.0,0.5586969492080265
1.0,0.6,2.0,1.8,0.5751447929875126
1.0,0.4,1.6,2.0,0.5257998317531377
2.6,1.8,2.6,1.6,0.5654241942074544
1.8,1.4,2.0,1.6,0.5020579534341582
2.4,1.2,3.6,1.4,0.5758151672107574
3.0,1.0,2.2,1.8,0.5314354828564953
1.8,0.4,1.8,2.0,0.5030313003279908
1.6,1.6,3.0,1.6,0.5988799294932188
1.2,0.2,3.2,1.6,0.5346151725654386
1.4,0.6,3.8,1.4,0.5912409964476395
1.8,1.4,4.0,1.4,0.5759812545789866
2.6,0.6,4.0,1.4,0.5426633640597924
1.2,0.4,1.6,2.0,0.5090144117748845
2.0,1.4,3.6,1.4,0.5363566813468424
1.6,1.4,3.0,1.6,0.5877696522653851
1.6,0.2,3.8,1.6,0.5439566280281097
3.0,1.8,2.4,1.8,0.5912690591831232
2.2,1.2,3.6,1.4,0.5822938512878361
2.4,0.2,3.0,2.0,0.5147988968513324
2.8,0.6,3.8,1.6,0.5966049060173281
1.8,0.2,3.2,1.8,0.5365253640038541
1.6,1.4,1.6,1.8,0.5052532255475604
1.0,1.8,4.0,1.2,0.5493014849017908
1.4,0.4,2.4,1.8,0.5735216120713771
1.2,1.2,1.4,2.0,0.5320359471894797
1.4,1.8,2.8,1.6,0.5976118565143222
2.4,0.8,3.2,1.6,0.5972510368518721
2.4,1.0,1.8,2.0,0.5517358581692836
2.2,0.6,2.6,1.6,0.5193407712010166
1.6,1.0,2.0,1.8,0.5722061484972197
1.2,0.4,2.4,1.8,0.5901563456359421
1.4,1.8,2.2,1.6,0.5170767522735416
1.4,0.2,3.8,1.6,0.5637539656672487
2.2,1.6,3.8,1.4,0.5777825856850303
1.0,0.4,1.8,2.0,0.5684132867780761
1.2,1.0,3.6,1.4,0.587558575354124
2.6,0.6,3.4,1.6,0.5746381365686736
